Province_State,Country_Region,Lat,Long,Date,Confirmed Cases
Rio de Janeiro,Brazil,-22.911,-43.206,03/14/20,6
Rio Grande do Norte,Brazil,-5.783,-35.2,03/14/20,0
Rio Grande do Sul,Brazil,-30.033,-51.23,03/14/20,2
Santa Catarina,Brazil,-27.612,-48.485,03/14/20,2
Sergipe,Brazil,-10.917,-37.05,03/14/20,1
Sao Paulo,Brazil,-23.55,-46.633,03/14/20,9
Brazil,Brazil,-14.2,-51.9,03/14/20,36
Alagoas,Brazil,-9.666,-35.735,03/15/20,0
Amazonas,Brazil,-3.1,-60.017,03/15/20,0
Bahia,Brazil,-12.975,-38.477,03/15/20,2
Distrito Federal,Brazil,-15.794,-47.883,03/15/20,6
Espirito Santo,Brazil,-20.289,-40.308,03/15/20,0
Goias,Brazil,-16.667,-49.25,03/15/20,0
Minas Gerais,Brazil,-19.917,-43.933,03/15/20,0
Mato Grosso do Sul,Brazil,-20.484,-54.615,03/15/20,0
Pernambuco,Brazil,-8.05,-34.9,03/15/20,1
Parana,Brazil,-25.417,-49.25,03/15/20,0
Rio de Janeiro,Brazil,-22.911,-43.206,03/15/20,2
Rio Grande do Norte,Brazil,-5.783,-35.2,03/15/20,0
Rio Grande do Sul,Brazil,-30.033,-51.23,03/15/20,0
Santa Catarina,Brazil,-27.612,-48.485,03/15/20,1
Sergipe,Brazil,-10.917,-37.05,03/15/20,0
Sao Paulo,Brazil,-23.55,-46.633,03/15/20,71
Brazil,Brazil,-14.2,-51.9,03/15/20,83
Alagoas,Brazil,-9.666,-35.735,03/16/20,0
Amazonas,Brazil,-3.1,-60.017,03/16/20,0
Bahia,Brazil,-12.975,-38.477,03/16/20,1
Ceara,Brazil,-3.728,-38.528,03/16/20,9
Distrito Federal,Brazil,-15.794,-47.883,03/16/20,5
Espirito Santo,Brazil,-20.289,-40.308,03/16/20,0
Goias,Brazil,-16.667,-49.25,03/16/20,5
Minas Gerais,Brazil,-19.917,-43.933,03/16/20,2
Mato Grosso do Sul,Brazil,-20.484,-54.615,03/16/20,2
Pernambuco,Brazil,-8.05,-34.9,03/16/20,0
Parana,Brazil,-25.417,-49.25,03/16/20,0
Rio de Janeiro,Brazil,-22.911,-43.206,03/16/20,7
Rio Grande do Norte,Brazil,-5.783,-35.2,03/16/20,0
Rio Grande do Sul,Brazil,-30.033,-51.23,03/16/20,2
Santa Catarina,Brazil,-27.612,-48.485,03/16/20,1
Sergipe,Brazil,-10.917,-37.05,03/16/20,4
Sao Paulo,Brazil,-23.55,-46.633,03/16/20,16
Brazil,Brazil,-14.2,-51.9,03/16/20,54
Acre,Brazil,-9.975,-67.81,03/17/20,3
Alagoas,Brazil,-9.666,-35.735,03/17/20,0
Amazonas,Brazil,-3.1,-60.017,03/17/20,0
Bahia,Brazil,-12.975,-38.477,03/17/20,4
Ceara,Brazil,-3.728,-38.528,03/17/20,1
Distrito Federal,Brazil,-15.794,-47.883,03/17/20,3
Espirito Santo,Brazil,-20.289,-40.308,03/17/20,0
Goias,Brazil,-16.667,-49.25,03/17/20,1
Minas Gerais,Brazil,-19.917,-43.933,03/17/20,8
Mato Grosso do Sul,Brazil,-20.484,-54.615,03/17/20,2
Pernambuco,Brazil,-8.05,-34.9,03/17/20,10
Parana,Brazil,-25.417,-49.25,03/17/20,6
Rio de Janeiro,Brazil,-22.911,-43.206,03/17/20,2
Rio Grande do Norte,Brazil,-5.783,-35.2,03/17/20,0
Rio Grande do Sul,Brazil,-30.033,-51.23,03/17/20,2
Santa Catarina,Brazil,-27.612,-48.485,03/17/20,0
Sergipe,Brazil,-10.917,-37.05,03/17/20,0
Sao Paulo,Brazil,-23.55,-46.633,03/17/20,12
Brazil,Brazil,-14.2,-51.9,03/17/20,54
Acre,Brazil,-9.975,-67.81,03/18/20,0
Alagoas,Brazil,-9.666,-35.735,03/18/20,0
Amazonas,Brazil,-3.1,-60.017,03/18/20,0
Bahia,Brazil,-12.975,-38.477,03/18/20,13
Ceara,Brazil,-3.728,-38.528,03/18/20,9
Distrito Federal,Brazil,-15.794,-47.883,03/18/20,12
Espirito Santo,Brazil,-20.289,-40.308,03/18/20,8
Goias,Brazil,-16.667,-49.25,03/18/20,2
Minas Gerais,Brazil,-19.917,-43.933,03/18/20,5
Mato Grosso do Sul,Brazil,-20.484,-54.615,03/18/20,1
Para,Brazil,-1.456,-48.504,03/18/20,1
Paraiba,Brazil,-7.083,-34.833,03/18/20,1
Pernambuco,Brazil,-8.05,-34.9,03/18/20,1
Parana,Brazil,-25.417,-49.25,03/18/20,3
Rio de Janeiro,Brazil,-22.911,-43.206,03/18/20,30
Rio Grande do Norte,Brazil,-5.783,-35.2,03/18/20,0
Rio Grande do Sul,Brazil,-30.033,-51.23,03/18/20,9
Santa Catarina,Brazil,-27.612,-48.485,03/18/20,7
Sergipe,Brazil,-10.917,-37.05,03/18/20,1
Sao Paulo,Brazil,-23.55,-46.633,03/18/20,77
Tocantins,Brazil,-10.184,-48.334,03/18/20,1
Brazil,Brazil,-14.2,-51.9,03/18/20,181
Acre,Brazil,-9.975,-67.81,03/19/20,1
Alagoas,Brazil,-9.666,-35.735,03/19/20,3
Amazonas,Brazil,-3.1,-60.017,03/19/20,1
Bahia,Brazil,-12.975,-38.477,03/19/20,4
Ceara,Brazil,-3.728,-38.528,03/19/20,5
Distrito Federal,Brazil,-15.794,-47.883,03/19/20,8
Espirito Santo,Brazil,-20.289,-40.308,03/19/20,4
Goias,Brazil,-16.667,-49.25,03/19/20,3
Minas Gerais,Brazil,-19.917,-43.933,03/19/20,10
Mato Grosso do Sul,Brazil,-20.484,-54.615,03/19/20,2
Para,Brazil,-1.456,-48.504,03/19/20,0
Paraiba,Brazil,-7.083,-34.833,03/19/20,0
Pernambuco,Brazil,-8.05,-34.9,03/19/20,9
Piaui,Brazil,-5.095,-42.8042,03/19/20,3
Parana,Brazil,-25.417,-49.25,03/19/20,9
Rio de Janeiro,Brazil,-22.911,-43.206,03/19/20,3
Rio Grande do Norte,Brazil,-5.783,-35.2,03/19/20,0
Rio Grande do Sul,Brazil,-30.033,-51.23,03/19/20,12
Santa Catarina,Brazil,-27.612,-48.485,03/19/20,7
Sergipe,Brazil,-10.917,-37.05,03/19/20,0
