Province_State,Country_Region,Lat,Long,Date,Confirmed Cases
Minas Gerais,Brazil,-19.917,-43.933,2020-03-14,2
Mato Grosso do Sul,Brazil,-20.484,-54.615,2020-03-14,2
Pernambuco,Brazil,-8.05,-34.9,2020-03-14,5
Parana,Brazil,-25.417,-49.25,2020-03-14,0
Rio de Janeiro,Brazil,-22.911,-43.206,2020-03-14,6
Rio Grande do Norte,Brazil,-5.783,-35.2,2020-03-14,0
Rio Grande do Sul,Brazil,-30.033,-51.23,2020-03-14,2
Santa Catarina,Brazil,-27.612,-48.485,2020-03-14,2
Sergipe,Brazil,-10.917,-37.05,2020-03-14,1
Sao Paulo,Brazil,-23.55,-46.633,2020-03-14,9
Brazil,Brazil,-14.2,-51.9,2020-03-14,36
Alagoas,Brazil,-9.666,-35.735,2020-03-15,0
Amazonas,Brazil,-3.1,-60.017,2020-03-15,0
Bahia,Brazil,-12.975,-38.477,2020-03-15,2
Distrito Federal,Brazil,-15.794,-47.883,2020-03-15,6
Espirito Santo,Brazil,-20.289,-40.308,2020-03-15,0
Goias,Brazil,-16.667,-49.25,2020-03-15,0
Minas Gerais,Brazil,-19.917,-43.933,2020-03-15,0
Mato Grosso do Sul,Brazil,-20.484,-54.615,2020-03-15,0
Pernambuco,Brazil,-8.05,-34.9,2020-03-15,1
Parana,Brazil,-25.417,-49.25,2020-03-15,0
Rio de Janeiro,Brazil,-22.911,-43.206,2020-03-15,2
Rio Grande do Norte,Brazil,-5.783,-35.2,2020-03-15,0
Rio Grande do Sul,Brazil,-30.033,-51.23,2020-03-15,0
Santa Catarina,Brazil,-27.612,-48.485,2020-03-15,1
Sergipe,Brazil,-10.917,-37.05,2020-03-15,0
Sao Paulo,Brazil,-23.55,-46.633,2020-03-15,71
Brazil,Brazil,-14.2,-51.9,2020-03-15,83
Alagoas,Brazil,-9.666,-35.735,2020-03-16,0
Amazonas,Brazil,-3.1,-60.017,2020-03-16,0
Bahia,Brazil,-12.975,-38.477,2020-03-16,1
Ceara,Brazil,-3.728,-38.528,2020-03-16,9
Distrito Federal,Brazil,-15.794,-47.883,2020-03-16,5
Espirito Santo,Brazil,-20.289,-40.308,2020-03-16,0
Goias,Brazil,-16.667,-49.25,2020-03-16,5
Minas Gerais,Brazil,-19.917,-43.933,2020-03-16,2
Mato Grosso do Sul,Brazil,-20.484,-54.615,2020-03-16,2
Pernambuco,Brazil,-8.05,-34.9,2020-03-16,0
Parana,Brazil,-25.417,-49.25,2020-03-16,0
Rio de Janeiro,Brazil,-22.911,-43.206,2020-03-16,7
Rio Grande do Norte,Brazil,-5.783,-35.2,2020-03-16,0
Rio Grande do Sul,Brazil,-30.033,-51.23,2020-03-16,2
Santa Catarina,Brazil,-27.612,-48.485,2020-03-16,1
Sergipe,Brazil,-10.917,-37.05,2020-03-16,4
Sao Paulo,Brazil,-23.55,-46.633,2020-03-16,16
Brazil,Brazil,-14.2,-51.9,2020-03-16,54
Acre,Brazil,-9.975,-67.81,2020-03-17,3
Alagoas,Brazil,-9.666,-35.735,2020-03-17,0
Amazonas,Brazil,-3.1,-60.017,2020-03-17,0
Bahia,Brazil,-12.975,-38.477,2020-03-17,4
Ceara,Brazil,-3.728,-38.528,2020-03-17,1
Distrito Federal,Brazil,-15.794,-47.883,2020-03-17,3
Espirito Santo,Brazil,-20.289,-40.308,2020-03-17,0
Goias,Brazil,-16.667,-49.25,2020-03-17,1
Minas Gerais,Brazil,-19.917,-43.933,2020-03-17,8
Mato Grosso do Sul,Brazil,-20.484,-54.615,2020-03-17,2
Pernambuco,Brazil,-8.05,-34.9,2020-03-17,10
Parana,Brazil,-25.417,-49.25,2020-03-17,6
Rio de Janeiro,Brazil,-22.911,-43.206,2020-03-17,2
Rio Grande do Norte,Brazil,-5.783,-35.2,2020-03-17,0
Rio Grande do Sul,Brazil,-30.033,-51.23,2020-03-17,2
Santa Catarina,Brazil,-27.612,-48.485,2020-03-17,0
Sergipe,Brazil,-10.917,-37.05,2020-03-17,0
Sao Paulo,Brazil,-23.55,-46.633,2020-03-17,12
Brazil,Brazil,-14.2,-51.9,2020-03-17,54
Acre,Brazil,-9.975,-67.81,2020-03-18,0
Alagoas,Brazil,-9.666,-35.735,2020-03-18,0
Amazonas,Brazil,-3.1,-60.017,2020-03-18,0
Bahia,Brazil,-12.975,-38.477,2020-03-18,13
Ceara,Brazil,-3.728,-38.528,2020-03-18,9
Distrito Federal,Brazil,-15.794,-47.883,2020-03-18,12
Espirito Santo,Brazil,-20.289,-40.308,2020-03-18,8
Goias,Brazil,-16.667,-49.25,2020-03-18,2
Minas Gerais,Brazil,-19.917,-43.933,2020-03-18,5
Mato Grosso do Sul,Brazil,-20.484,-54.615,2020-03-18,1
Para,Brazil,-1.456,-48.504,2020-03-18,1
Paraiba,Brazil,-7.083,-34.833,2020-03-18,1
